Date,Open,High,Low,Close,Volume,MA_10,MA_30,K,D,covid
2020-08-26,12768.95996,12833.29004,12734.69043,12833.29004,3413200.0,12737.462889999973,12623.074935333309,78.73666771316337,63.240662622670975,0
2020-08-27,12888.65039,12960.67969,12786.4502,12797.30957,4956500.0,12740.880858999973,12644.393913333306,81.1273644120521,74.57112810155145,0
2020-08-28,12759.29981,12799.16016,12674.57031,12728.84961,3774200.0,12734.219823999973,12662.636914666638,69.39160929149827,76.4185471389049,0
2020-08-31,12763.44043,12831.37988,12591.4502,12591.4502,4820400.0,12697.753808999973,12676.533919999973,36.05827595816493,62.19241655390544,1
2020-09-01,12617.38965,12703.28027,12565.83008,12703.28027,4070500.0,12680.867870999973,12686.724935333306,25.260098658140524,43.569994635934904,0
2020-09-02,12772.42969,12802.61035,12646.46973,12699.5,3968600.0,12672.953905999973,12694.265950999974,22.888048439505862,28.06880768527078,1
2020-09-03,12774.96973,12857.79004,12732.32031,12757.96973,5711400.0,12712.486913999974,12705.763607333309,44.824806479889105,30.990984525845505,0
2020-09-04,12645.91992,12655.66992,12559.78027,12637.9502,5122000.0,12715.497949999974,12716.893945999976,41.96476982997646,36.55920824979082,1
2020-09-07,12645.92969,12725.04981,12575.36035,12601.40039,5406000.0,12710.925000999972,12717.330631999976,35.33565320635913,40.70840983874191,4
2020-09-08,12637.41992,12702.54981,12614.71973,12663.55957,4243200.0,12701.455957999973,12719.891601999976,25.006937412375933,34.10245348290418,1
2020-09-09,12592.17969,12616.57031,12480.5,12608.58008,4223700.0,12678.984961999973,12722.145280333309,27.57917704404345,29.307255887593175,0
2020-09-10,12665.74023,12708.63965,12650.40039,12691.75,4738300.0,12668.429004999973,12721.106282999974,51.7182418779729,34.768118778131104,1
2020-09-11,12697.45996,12701.79004,12616.67969,12675.9502,4644800.0,12663.13906399997,12721.47796266664,66.75101634971581,48.682811757244394,2
2020-09-14,12680.41016,12793.07031,12680.41016,12787.82031,3515300.0,12682.77607499997,12730.63763066664,88.20868263326902,68.8926469536529,1
2020-09-15,12787.41992,12857.73047,12773.23047,12845.65039,3475900.0,12697.01308699997,12735.161979666644,91.6801734862337,82.21329082307318,0
2020-09-16,12989.80957,13021.67969,12948.71973,12976.75977,3609400.0,12724.73906399997,12740.977311666644,94.67557734422243,91.52147782124204,1
2020-09-17,12920.15039,12972.51953,12851.51953,12872.74023,3259900.0,12736.21611399997,12739.61865266664,82.9770596074966,89.77760347931792,3
2020-09-18,12858.59961,12927.80957,12841.08984,12875.62012,3858100.0,12759.98310599997,12741.176985999975,69.77819887966581,82.47694527712859,0
2020-09-21,12874.61035,12952.30957,12795.08984,12795.12012,3612600.0,12779.355078999974,12737.880989999972,43.07881585931303,65.27802478215882,6
2020-09-22,12786.91016,12786.91016,12632.74023,12645.50977,3420700.0,12777.550098999973,12733.391634666641,23.09826398109253,45.31842624002414,0
2020-09-23,12656.29981,12700.88965,12548.07031,12583.87988,3552700.0,12775.080078999974,12730.509310333311,6.843465495270952,24.34018177855917,0
2020-09-24,12487.48047,12487.48047,12264.37988,12264.37988,4698500.0,12732.34306699997,12713.884310333311,3.906627939492065,11.28278580528552,0
2020-09-25,12312.94043,12385.80957,12149.80957,12232.91016,4286100.0,12688.039062999973,12695.132650333311,6.263976156315053,5.671356530359696,1
2020-09-28,12282.36035,12462.75977,12282.36035,12462.75977,3002400.0,12655.533008999973,12678.687630999975,19.82540557287871,9.998669889562283,3
2020-09-29,12488.09961,12571.33984,12429.71973,12467.73047,2887800.0,12617.741016999973,12665.207324999976,39.05557504903428,21.714985592743023,0
2020-09-30,12483.65039,12568.67969,12466.58008,12515.61035,2462100.0,12571.626074999973,12656.439681666641,64.53025169175879,41.13707743789093,1
2020-10-05,12567.87988,12637.62012,12519.12012,12548.28027,2876800.0,12539.180078999972,12662.627702333306,75.385098588382,59.65697510972536,4
2020-10-06,12644.08984,12706.38965,12644.08984,12704.23047,3064800.0,12522.041113999972,12665.840723333307,89.31852731955166,76.41129253323115,3
